spdiversity,fndiv,Substrate,vial,tube,time,dC_dt
4,4,Aspen,55,151,2.74,45.45
4,4,Aspen,63,152,2.75,0.93
4,4,Aspen,71,153,2.76,0.76
4,4,Aspen,79,154,2.77,11.09
8,4,Aspen,87,155,2.78,30.34
8,4,Aspen,95,156,2.82,30.00
8,4,Aspen,103,157,2.83,25.75
8,4,Aspen,111,158,2.84,0.88
8,4,Aspen,119,159,2.85,1.77
8,4,Aspen,127,160,2.86,1.84
8,4,Aspen,135,161,2.87,32.67
8,4,Aspen,143,162,2.88,37.36
8,4,Aspen,151,163,2.89,26.76
8,4,Aspen,159,164,2.90,1.16
8,4,Aspen,167,165,2.91,4.03
8,4,Aspen,175,166,2.92,9.27
8,4,Aspen,183,167,2.93,26.12
8,4,Aspen,8,168,2.67,3.02
8,4,Aspen,16,169,2.68,5.39
8,4,Aspen,24,170,2.68,5.72
8,4,Aspen,32,171,2.69,7.42
8,4,Aspen,40,172,2.70,12.49
8,4,Aspen,48,173,2.71,29.70
8,4,Aspen,56,174,2.74,35.09
8,4,Aspen,64,175,2.75,19.57
8,4,Aspen,72,176,2.76,2.78
8,4,Aspen,80,177,2.77,0.63
8,4,Aspen,88,178,2.78,29.82
8,4,Aspen,96,179,2.82,27.54
8,4,Aspen,104,180,2.83,21.13
8,4,Aspen,112,181,2.84,0.85
8,4,Aspen,120,182,2.85,0.67
8,4,Aspen,128,183,2.86,56.38
8,4,Aspen,136,184,2.87,1.01
8,4,Aspen,144,185,2.88,32.58
8,4,Aspen,152,186,2.89,21.35
8,4,Aspen,160,187,2.90,0.13
8,4,Aspen,168,188,2.91,3.58
8,4,Aspen,176,189,2.92,3.86
8,4,Aspen,184,190,2.93,3.60
1,1,Spruce,1,1,2.67,50.22
1,1,Spruce,9,2,2.68,25.81
1,1,Spruce,17,3,2.69,0.78
1,1,Spruce,25,4,2.69,0.87
1,1,Spruce,33,5,2.70,0.87
1,1,Spruce,41,6,2.70,1.65
1,1,Spruce,49,7,2.72,1.18
1,1,Spruce,57,8,2.73,1.50
1,1,Spruce,65,9,2.73,1.78
1,1,Spruce,73,10,2.74,0.52
1,1,Spruce,81,11,2.74,0.30
1,1,Spruce,89,12,2.74,21.02
1,1,Spruce,97,13,2.75,0.78
1,1,Spruce,105,14,2.76,0.90
