id,vial,tube,microcosm.tray,iso.let
s42,42,30,S2,N
s50,50,31,S3,O
s58,58,32,S3,P
s66,66,33,S3,AB
s74,74,34,S4,AC
s82,82,35,S4,AD
s90,90,36,S4,BC
s98,98,37,S5,BD
s106,106,38,S5,CD
s114,114,39,S5,EF
s122,122,40,S6,EG
s130,130,41,S6,EH
s138,138,42,S6,FG
s146,146,43,S7,FH
s154,154,44,S7,GH
s162,162,45,S7,IJ
s170,170,46,S8,IK
s178,178,47,S8,IL
s186,186,48,S8,JK
s3,3,49,S1,JL
s11,11,50,S1,KL
s19,19,51,S1,MN
s27,27,52,S2,MO
s35,35,53,S2,MP
s43,43,54,S2,NO
s51,51,55,S3,NP
s59,59,56,S3,OP
s67,67,57,S3,ABCD
s75,75,58,S4,EFGH
s83,83,59,S4,IJKL
s91,91,60,S4,MNOP
s99,99,61,S5,ABCD
s107,107,62,S5,EFGH
s115,115,63,S5,IJKL
s123,123,64,S6,MNOP
s131,131,65,S6,AE
s139,139,66,S6,BF
s147,147,67,S7,CG
s155,155,68,S7,DH
s163,163,69,S7,AI
s171,171,70,S8,BJ
s179,179,71,S8,CK
s187,187,72,S8,DL
s4,4,73,S1,AO
s12,12,74,S1,BP
s20,20,75,S1,CN
s28,28,76,S2,DM
s36,36,77,S2,EJ
s44,44,78,S2,FL
s52,52,79,S3,GK
s60,60,80,S3,HI
s68,68,81,S3,EO
s76,76,82,S4,FM
s84,84,83,S4,GP
s92,92,84,S4,HN
s100,100,85,S5,IP
s108,108,86,S5,JM
s116,116,87,S5,KO
s124,124,88,S6,LN
s132,132,89,S6,ABEH
s140,140,90,S6,ACFG
s148,148,91,S7,ADFH
s156,156,92,S7,BCEF
s164,164,93,S7,BDEG
s172,172,94,S8,CDGH
s180,180,95,S8,ABIJ
s188,188,96,S8,ACIK
s5,5,97,S1,ADIL
s13,13,98,S1,BCJK
s21,21,99,S1,BDJL
s29,29,100,S2,CDKL
s37,37,101,S2,ABMP
s45,45,102,S2,ACMO
s53,53,103,S3,ADMO
s61,61,104,S3,BCMN
s69,69,105,S3,BDOP
s77,77,106,S4,CDNP
s85,85,107,S4,EFJK
s93,93,108,S4,EGJL
s101,101,109,S5,EHKL
s109,109,110,S5,FGIJ
s117,117,111,S5,FHIK
s125,125,112,S6,GHIL
s133,133,113,S6,EFOP
s141,141,114,S6,EGNP
s149,149,115,S7,EHNO
s157,157,116,S7,FGMN
s165,165,117,S7,FHMO
s173,173,118,S8,GHMP
s181,181,119,S8,IJNP
s189,189,120,S8,IKOP
s6,6,121,S1,ILMP
s14,14,122,S1,JKNO
s22,22,123,S1,JLMO
s30,30,124,S2,KLNP
s38,38,125,S2,ABCDEFGH
s46,46,126,S2,ABCDIJKL
s54,54,127,S3,ABCDMNOP
s62,62,128,S3,EFGHIJKL
s70,70,129,S3,EFGHMNOP
s78,78,130,S4,IJKLMNOP
s86,86,131,S4,AEIP
s94,94,132,S4,BFJO
s102,102,133,S5,CGKN
s110,110,134,S5,DHLM
s118,118,135,S5,AFLN
s126,126,136,S6,BGKM
s134,134,137,S6,CHJO
s142,142,138,S6,DEIP
s150,150,139,S7,AGIP
s158,158,140,S7,BHJO
s166,166,141,S7,CEKN
s174,174,142,S8,DFLM
s182,182,143,S8,AHLP
s190,190,144,S8,BEKO
s7,7,145,S1,CFJN
s15,15,146,S1,DGIM
s23,23,147,S1,AELM
s31,31,148,S2,BFKN
s39,39,149,S2,CGJO
s47,47,150,S2,DHIP
s55,55,151,S3,AHLN
s63,63,152,S3,BEKM
s71,71,153,S3,CFJP
s79,79,154,S4,DGIO
s87,87,155,S4,ABEFIJMP
s95,95,156,S4,ACEGIKNO
s103,103,157,S5,ADEHILMN
s111,111,158,S5,BCFGJKNO
s119,119,159,S5,BDFHJLNP
s127,127,160,S6,CDGHKLMO
s135,135,161,S6,ABEHILMP
s143,143,162,S6,ACFGJKNO
s151,151,163,S7,ADFHJLNP
s159,159,164,S7,BCGHKLOP
s167,167,165,S7,BDEFIJOP
s175,175,166,S8,CDEGIKMO
s183,183,167,S8,ABFGJKMO
s8,8,168,S1,ACFHJLNP
s16,16,169,S1,ADGHKLMN
s24,24,170,S1,BCEFIJMN
s32,32,171,S2,BDEGIKMN
s40,40,172,S2,CDEHIJNP
s48,48,173,S2,ABEFIKNO
s56,56,174,S3,ACEGILMP
s64,64,175,S3,ADEHILOP
s72,72,176,S3,BCFGJLMN
s80,80,177,S4,BDFHJKMO
s88,88,178,S4,CDGHKLMP
s96,96,179,S4,ABFGIJMO
s104,104,180,S5,ACFHJKMO
s112,112,181,S5,ADGHKLNP
s120,120,182,S5,BCEFILMN
s128,128,183,S6,BDEGJLMP
s136,136,184,S6,CDEHIKNO
s144,144,185,S6,ABEGJKNP
s152,152,186,S7,ACEHJLNO
s160,160,187,S7,ADEFKLOP
s168,168,188,S7,BCFHIJOP
s176,176,189,S8,BDFGIKNP
s184,184,190,S8,CDGHILNO
