"substrate","tube","id","bg","ppo","ppo.ho","bg.ho"
"a",165,"a165",6,552,0.013,0.013
"a",166,"a166",151,1621,0.018,0.141
"a",167,"a167",-1,4798,0.020,0.092
"a",168,"a168",17,4779,0.013,0.049
"a",169,"a169",2,4262,0.029,0.023
"a",170,"a170",327,3321,0.038,0.020
"a",171,"a171",175,4262,0.046,0.023
"a",172,"a172",3,4221,0.028,0.023
"a",173,"a173",0,3823,0.027,0.018
"a",174,"a174",-2,5642,0.027,0.039
"a",178,"a178",13,1821,0.025,0.048
"a",179,"a179",11,2649,0.029,0.046
"a",180,"a180",27,2573,0.015,0.038
"a",181,"a181",6,4702,0.027,0.084
"a",182,"a182",10,416,0.012,0.030
"a",183,"a183",14,1717,0.017,0.192
"a",184,"a184",14,332,0.013,0.023
"a",185,"a185",-7,2964,0.029,0.057
"a",186,"a186",15,5049,0.014,0.046
"a",187,"a187",-7,3496,0.017,0.130
"a",189,"a189",262,638,0.030,0.015
"a",190,"a190",30,1493,0.028,0.141
"a",191,"a191",269,1980,0.027,0.142
"a",192,"a192",-5,1834,0.015,0.141
"a",193,"a193",14,20,0.008,0.025
"a",194,"a194",73,196,0.010,0.013
"a",195,"a195",9,859,0.020,0.049
"a",196,"a196",-2,1538,0.019,0.018
"s",1,"s1",181,5119,0.019,0.053
"s",2,"s2",85,90,0.025,0.090
"s",3,"s3",2,959,0.016,0.079
"s",4,"s4",21,109,0.015,0.111
"s",5,"s5",35,58,0.007,0.095
"s",6,"s6",192,1540,0.020,0.062
"s",7,"s7",129,152,0.011,0.086
"s",8,"s8",16,978,0.012,0.043
"s",9,"s9",326,544,0.017,0.028
"s",10,"s10",23,35,0.015,0.022
"s",11,"s11",6,346,0.019,0.028
"s",12,"s12",8,54,0.022,0.022
"s",13,"s13",11,158,0.018,0.025
"s",14,"s14",5,33,0.023,0.026
"s",15,"s15",6,157,0.016,0.025
"s",16,"s16",4,489,0.024,0.027
"s",17,"s17",0,2923,0.020,0.021
"s",18,"s18",-2,386,0.027,0.049
"s",19,"s19",4,-25,0.023,0.003
"s",20,"s20",-2,328,0.020,0.052
"s",21,"s21",0,400,0.024,0.036
"s",22,"s22",35,954,0.018,0.074
"s",23,"s23",30,338,0.034,0.077
"s",24,"s24",36,3013,0.013,0.103
"s",25,"s25",65,466,0.014,0.036
"s",26,"s26",55,-11,0.010,0.105
"s",27,"s27",2,114,0.025,0.094
"s",28,"s28",45,-47,0.011,0.135
"s",29,"s29",28,535,0.014,0.087
"s",30,"s30",296,102,0.031,0.116
"s",31,"s31",59,65,0.006,0.080
"s",32,"s32",54,317,0.015,0.133
"s",33,"s33",12,2224,0.007,0.033
"s",34,"s34",8,280,0.017,0.018
"s",35,"s35",8,355,0.017,0.022
"s",36,"s36",11,136,0.024,0.022
"s",37,"s37",15,77,0.016,0.022
"s",38,"s38",7,219,0.024,0.025
"s",39,"s39",0,42,0.010,0.015
"s",40,"s40",1,545,0.026,0.037
"s",41,"s41",502,2138,0.034,0.040
"s",42,"s42",2,444,0.018,0.038
"s",43,"s43",1,5050,0.021,0.010
"s",44,"s44",9,337,0.013,0.081
"s",45,"s45",0,776,0.027,0.046
"s",46,"s46",11,318,0.014,0.080
"s",47,"s47",152,512,0.030,0.053
"s",48,"s48",22,280,0.012,0.115
"s",49,"s49",1,415,0.021,0.077
"s",50,"s50",-3,384,0.017,0.079
"s",51,"s51",4,281,0.017,0.089
"s",52,"s52",17,279,0.014,0.138
"s",53,"s53",117,132,0.026,0.127
"s",54,"s54",25,425,0.009,0.139
"s",55,"s55",46,187,0.006,0.102
"s",56,"s56",-1,179,0.024,0.092
"s",57,"s57",96,1517,0.013,0.076
"s",58,"s58",427,472,0.021,0.022
"s",59,"s59",21,287,0.017,0.022
"s",60,"s60",10,-141,0.021,0.046
"s",61,"s61",-3,488,0.025,0.030
"s",62,"s62",-2,3444,0.019,0.031
"s",63,"s63",11,23,0.005,0.006
"s",64,"s64",0,543,0.019,0.033
"s",65,"s65",1,3165,0.020,0.029
"s",66,"s66",6,3459,0.030,0.032
"s",67,"s67",15,80,0.022,0.020
"s",68,"s68",5,1098,0.010,0.018
"s",69,"s69",3,4454,0.023,0.052
"s",70,"s70",99,281,0.020,0.092
"s",71,"s71",2,1230,0.014,0.116
"s",72,"s72",15,425,0.019,0.085
"s",73,"s73",44,4038,0.017,0.060
"s",74,"s74",92,39,0.019,0.110
"s",75,"s75",107,961,0.018,0.100
"s",76,"s76",67,222,0.012,0.088
"s",77,"s77",25,1240,0.012,0.071
"s",78,"s78",28,2310,0.013,0.063
"s",79,"s79",34,97,0.008,0.100
"s",80,"s80",5,3257,0.006,0.028
"s",81,"s81",8,5558,0.006,0.036
"s",82,"s82",9,7,0.023,0.024
"s",83,"s83",7,110,0.021,0.017
"s",84,"s84",516,237,0.029,0.027
"s",85,"s85",12,510,0.016,0.022
"s",86,"s86",1,520,0.024,0.032
"s",87,"s87",6,110,0.013,0.017
"s",88,"s88",-1,324,0.024,0.055
"s",89,"s89",3,1977,0.019,0.034
"s",90,"s90",-3,1968,0.021,0.031
"s",91,"s91",8,89,0.017,0.018
"s",92,"s92",7,112,0.013,0.013
"s",93,"s93",12,58,0.019,0.029
"s",94,"s94",28,3208,0.012,0.147
"s",95,"s95",18,4025,0.015,0.029
"s",96,"s96",19,2863,0.015,0.036
"s",97,"s97",2,2565,0.018,0.020
"s",98,"s98",3,748,0.016,0.081
"s",99,"s99",278,167,0.066,0.095
"s",100,"s100",24,251,0.014,0.056
"s",101,"s101",85,2252,0.012,0.092
"s",102,"s102",50,3640,0.019,0.063
"s",103,"s103",7,46,0.014,0.019
"s",104,"s104",161,386,0.025,0.011
"s",105,"s105",179,1440,0.024,0.020
"s",106,"s106",6,40,0.019,0.023
"s",107,"s107",10,353,0.020,0.022
"s",108,"s108",11,134,0.018,0.024
"s",109,"s109",234,3581,0.029,0.029
"s",110,"s110",-2,651,0.029,0.042
"s",111,"s111",82,42,0.016,0.015
"s",112,"s112",462,3496,0.036,0.045
"s",113,"s113",1,281,0.025,0.046
"s",114,"s114",-2,614,0.026,0.027
"s",115,"s115",355,1469,0.033,0.035
"s",116,"s116",13,94,0.023,0.021
"s",117,"s117",482,35,0.026,0.022
"s",118,"s118",2,3684,0.024,0.054
"s",119,"s119",63,700,0.018,0.093
"s",120,"s120",41,1336,0.010,0.036
"s",121,"s121",22,692,0.019,0.031
"s",122,"s122",-2,6,0.027,0.007
"s",123,"s123",7,602,0.025,0.111
"s",124,"s124",29,166,0.014,0.094
"s",125,"s125",312,1787,0.019,0.036
"s",126,"s126",6,1937,0.016,0.033
"s",127,"s127",7,1403,0.014,0.030
"s",128,"s128",12,700,0.015,0.032
"s",129,"s129",4,661,0.009,0.017
"s",130,"s130",23,283,0.016,0.018
"s",131,"s131",5,20,0.016,0.027
"s",132,"s132",11,346,0.022,0.033
"s",133,"s133",10,114,0.024,0.022
"s",134,"s134",0,512,0.026,0.032
"s",135,"s135",9,622,0.010,0.014
"s",136,"s136",2,512,0.024,0.036
"s",137,"s137",459,2942,0.033,0.043
"s",138,"s138",21,802,0.021,0.025
"s",139,"s139",11,561,0.019,0.024
"s",140,"s140",394,-15,0.030,0.030
"s",141,"s141",286,866,0.016,0.020
"s",142,"s142",17,1980,0.012,0.103
"s",143,"s143",14,3293,0.018,0.044
"s",144,"s144",49,544,0.027,0.042
"s",145,"s145",-3,505,0.027,0.036
"s",146,"s146",460,830,0.033,0.045
"s",147,"s147",-1,1948,0.020,0.060
"s",148,"s148",20,92,0.018,0.100
"s",149,"s149",188,33,0.020,0.080
"s",150,"s150",4,2669,0.008,0.040
"s",151,"s151",233,1091,0.021,0.014
"s",152,"s152",4,1541,0.014,0.025
"s",153,"s153",186,1741,0.026,0.019
"s",154,"s154",14,-49,0.024,0.024
"s",155,"s155",33,1032,0.014,0.016
"s",156,"s156",-1,401,0.012,0.018
"s",157,"s157",49,2515,0.016,0.020
"s",158,"s158",2,517,0.024,0.034
"s",159,"s159",108,583,0.010,0.015
"s",160,"s160",-4,482,0.025,0.027
"s",161,"s161",3,2062,0.018,0.028
"s",162,"s162",0,3195,0.021,0.029
"s",163,"s163",8,93,0.018,0.015
"s",164,"s164",5,18,0.022,0.021
"s",165,"s165",9,1046,0.026,0.039
"s",166,"s166",225,550,0.019,0.068
"s",167,"s167",91,2032,0.014,0.035
"s",168,"s168",33,2216,0.016,0.144
"s",169,"s169",2,2264,0.020,0.033
"s",170,"s170",-3,1255,0.029,0.043
"s",171,"s171",1,314,0.025,0.115
"s",172,"s172",1,226,0.018,0.040
"s",173,"s173",141,1995,0.017,0.046
"s",174,"s174",30,2956,0.028,0.043
"s",175,"s175",8,1500,0.015,0.025
"s",176,"s176",206,912,0.010,0.023
"s",177,"s177",22,1721,0.017,0.052
"s",178,"s178",9,20,0.020,0.027
"s",179,"s179",6,577,0.017,0.022
"s",180,"s180",6,224,0.015,0.018
"s",181,"s181",3,1974,0.014,0.031
"s",182,"s182",-3,206,0.018,0.052
"s",183,"s183",-4,370,0.019,0.054
"s",184,"s184",60,512,0.026,0.030
"s",185,"s185",-2,1746,0.020,0.026
"s",186,"s186",-2,3353,0.021,0.028
"s",187,"s187",15,146,0.018,0.019
"s",188,"s188",12,61,0.027,0.027
"s",189,"s189",2,231,0.021,0.109
"s",190,"s190",50,1382,0.008,0.038
"s",191,"s191",10,2310,0.019,0.049
"s",192,"s192",179,3528,0.073,0.069
"s",193,"s193",2,290,0.028,0.095
"s",194,"s194",347,983,0.034,0.055
"s",195,"s195",2,1870,0.026,0.098
"s",196,"s196",-3,438,0.031,0.047
